plot,depth1,depth2,pH.pH
42,10_15,15_20,6.02370119094849
42,20_25,20_30,6.59149026870728
42,40_45,45_50,6.54641485214233
43,0_5,5_10,5.57362079620361
43,10_15,15_20,5.56587791442871
43,20_25,20_30,6.06041669845581
43,40_45,45_50,6.50155401229858
44,0_5,5_10,5.4298529624939
44,10_15,15_20,5.58373546600342
44,20_25,20_30,5.60147905349731
44,40_45,45_50,6.13361072540283
45,0_5,5_10,5.65377902984619
45,10_15,15_20,5.81184053421021
45,20_25,20_30,5.84671783447266
45,40_45,45_50,6.33939504623413
46,0_5,5_10,5.47778415679932
46,10_15,15_20,5.52953290939331
46,20_25,20_30,6.15941047668457
46,40_45,45_50,6.36857938766479
47,0_5,5_10,5.48490333557129
47,10_15,15_20,5.62776613235474
47,20_25,20_30,6.00767612457275
47,40_45,45_50,6.51299381256104
48,0_5,5_10,5.59594011306763
48,10_15,15_20,5.75752925872803
48,20_25,20_30,6.10823488235474
48,40_45,45_50,6.71221780776978
